iso_code,location,population,human_development_index,life_expectancy,hospital_beds_per_thousand,aged_65_older,median_age,population_density,continent,Nombre de cas,Nombre de morts,Nombre de cas par million,Nombre de morts par million,Nombre de vaccinés ( au moins une dose),Nombre de vaccinés ( toutes les doses),Index,Nombre de vaccinés ( toutes les doses) par million
GGY,Guernsey,63329.0,,,,,,,Europe,,,,,54223.0,52710.0,235,832320.1061125235
ESH,Western Sahara,576005.0,,70.26,,,28.4,,Africa,,,,,,,236,
SXM,Sint Maarten (Dutch part),44192.0,,78.95,,,,1209.088,North America,,,,,29788.0,26658.0,237,603231.3540912382
TUV,Tuvalu,11335.0,,67.57,,,,373.067,Oceania,2828.0,,249492.722,,9603.0,9322.0,238,822408.4693427437
OWID_NIR,Northern Ireland,1896000.0,,,,,,,Europe,,,,,1429764.0,1359865.0,239,717228.3755274261
TKM,Turkmenistan,6430777.0,0.715,68.19,7.4,4.277,26.9,12.253,Asia,,,,,3728000.0,3689000.0,240,573647.6323156595
TKL,Tokelau,1893.0,,81.86,,,,,Oceania,,,,,2203.0,2203.0,241,1163761.2255678817
OWID_CYN,Northern Cyprus,382836.0,,,,,,,Asia,,,,,301673.0,313067.0,242,817757.4731738917
MNP,Northern Mariana Islands,49574.0,,76.74,,,,119.878,Oceania,,,,,,,243,
JEY,Jersey,110796.0,,,,,,,Europe,,,,,84338.0,81838.0,244,738636.7738907542
OWID_INT,International,,,,,,,,,721.0,15.0,,,,,245,
NIU,Niue,1952.0,,73.71,,,,,Oceania,,,,,1636.0,1634.0,246,837090.1639344263
OWID_ENG,England,56550000.0,,,,,,,Europe,,,,,45374671.0,42878848.0,247,758246.6489832007
VIR,United States Virgin Islands,99479.0,,80.58,,18.601,42.2,306.48,North America,,,,,,,248,
